26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
03/9/1977- ||from our correspondents||4365900||The Neutron Bomb||-------------------------------------||Ramesh Jaura
29/10/1977- ||------||4366047||Not for Want of Technology||-------------------------------------||
15/10/1977- ||------||4366012||Good Indians to the Rescue||-------------------------------------||
24/12/1977- ||------||4366211||Pre-Emptive Move?||-------------------------------------||
03/9/1977- ||from our correspondents||4365897||Scraping the Barrel||-------------------------------------||
17/9/1977- ||------||4365922||In Search of a 'Leftist' Platform||-------------------------------------||
12/3/1977- ||------||4365383||Identifying Disruptionists||-------------------------------------||
08/10/1977- ||------||4365990||Poses All the Way||-------------------------------------||
12/3/1977- ||special articles||4365397||Size-Productivity Revisited: Addendum||-------------------------------------||Manabendu Chattopadhyay,Ashok Rudra
30/4/1977- ||------||4365527||Slow-Footed Reform||-------------------------------------||
06/8/1977- ||from our correspondents||4365837||Prospectives for the 1981 Census||-------------------------------------||Vasant P. Pethe
12/3/1977- ||------||4365398||Companies: Diversifying from a Strong Base||-------------------------------------||Hansavivek
05/3/1977- ||------||4365363||Against the Left||-------------------------------------||
05/3/1977- ||from our correspondents||4365372||Family Planning and Election Manifestos||-------------------------------------||Vasant P. Pethe
09/7/1977- ||------||4365738||Army's Intervention||-------------------------------------||
10/12/1977- ||special articles||4366181||Nature of Class Struggle in Bangladesh||While the forces of production in post-colonial Bangladesh have continued to remain relatively stagnant, there has been a constant struggle to transform the existing relations of production to the advantage of this or that contending group. During the regime of Sheikh Mujib, the rural rich contended successfully for political power; and even though this class lost political power at the national level following the political changes in the later part of 1975, it continues to be dominant in the rural areas. This article examines the nature and significance of these changing production relations in Bangladesh.||B. K. Jahangir
21/5/1977- ||from our correspondents||4365609||Who Is to Blame?||-------------------------------------||
11/6/1977- ||from our correspondents||4365676||Ominous Silence on Killings||-------------------------------------||
25/6/1977- ||from our correspondents||4365724||Unbroken Grip of Monopoly||-------------------------------------||Arun Sinha
01/10/1977- ||------||4365970||Companies: Lucrative Paper||-------------------------------------||Hansavivek
16/4/1977- ||from our correspondents||4365500||Legitimised Violence and Economic Policy in Argentina||-------------------------------------||Michel Chossudovsky
17/12/1977- ||from our correspondents||4366201||Suppression of Trade Unions under Martial Law||-------------------------------------||
26/11/1977- ||from our correspondents||4366117||Dark Side of 'Indianisation'||-------------------------------------||
1/2/1977- ||international affairs||4365310||A World Apart||-------------------------------------||G. P. D.
12/3/1977- ||from our correspondents||4365390||Eclipse of Congress||-------------------------------------||Arun Sinha
11/6/1977- ||from our correspondents||4365674||How Much Planning?||-------------------------------------||B. M.
14/5/1977- ||------||4365569||More Unilateral Wooing?||-------------------------------------||
10/12/1977- ||from the chair||4366182||The Sandur Manganese and Iron Ores Limited||-------------------------------------||Y. R. Ghorpade
